Model,Clutter_Level,Image_Name,Num_Detections,Avg_Confidence,TP,FP,FN,Precision,Recall,F1_Score,Avg_IOU
YOLOv8,Level_3,L3_9.png,2,0.8309997320175171,1,1,0,0.5,1.0,0.6666666666666666,0.8387207244046533
YOLOv11,Level_3,L3_9.png,1,0.7313873767852783,1,0,0,1.0,1.0,1.0,0.8332233776842222
YOLOv8,Level_3,L3_10.png,2,0.820784330368042,1,1,0,0.5,1.0,0.6666666666666666,0.850813252042186
YOLOv11,Level_3,L3_10.png,2,0.583162784576416,1,1,0,0.5,1.0,0.6666666666666666,0.8942157330443735
YOLOv8,Level_3,L3_11.png,2,0.5662660598754883,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_11.png,2,0.3435978293418884,0,2,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_12.png,2,0.813788890838623,1,1,0,0.5,1.0,0.6666666666666666,0.8796061268193694
YOLOv11,Level_3,L3_12.png,2,0.5759350061416626,1,1,0,0.5,1.0,0.6666666666666666,0.8819312773766549
YOLOv8,Level_3,L3_13.png,2,0.5749213695526123,1,1,0,0.5,1.0,0.6666666666666666,0.8476118102182295
YOLOv11,Level_3,L3_13.png,1,0.5696750283241272,1,0,0,1.0,1.0,1.0,0.8230374867504617
YOLOv8,Level_3,L3_14.png,2,0.8231809139251709,1,1,0,0.5,1.0,0.6666666666666666,0.6395068349737846
YOLOv11,Level_3,L3_14.png,1,0.8411507606506348,1,0,0,1.0,1.0,1.0,0.6438827620521045
YOLOv8,Level_3,L3_15.png,2,0.8264026045799255,1,1,0,0.5,1.0,0.6666666666666666,0.8520516375368183
YOLOv11,Level_3,L3_15.png,1,0.8491019606590271,1,0,0,1.0,1.0,1.0,0.9159880174309712
YOLOv8,Level_3,L3_16.png,2,0.8285746574401855,1,1,0,0.5,1.0,0.6666666666666666,0.9016685379794921
YOLOv11,Level_3,L3_16.png,2,0.5700407028198242,1,1,0,0.5,1.0,0.6666666666666666,0.8523347602831235
YOLOv8,Level_3,L3_17.png,2,0.7340608835220337,1,1,0,0.5,1.0,0.6666666666666666,0.7901424964286841
YOLOv11,Level_3,L3_17.png,1,0.8549168109893799,1,0,0,1.0,1.0,1.0,0.8603689719679528
YOLOv8,Level_3,L3_18.png,2,0.47756290435791016,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_18.png,1,0.7914879322052002,1,0,0,1.0,1.0,1.0,0.7599011165847351
YOLOv8,Level_3,L3_19.png,2,0.8120641708374023,1,1,0,0.5,1.0,0.6666666666666666,0.8706558548466361
YOLOv11,Level_3,L3_19.png,2,0.546223521232605,1,1,0,0.5,1.0,0.6666666666666666,0.8804498337633948
YOLOv8,Level_3,L3_20.png,1,0.6454409956932068,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_20.png,1,0.8208465576171875,1,0,0,1.0,1.0,1.0,0.6451271941602646
YOLOv8,Level_3,L3_21.png,1,0.6877172589302063,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_21.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_22.png,1,0.7536390423774719,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_22.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_23.png,2,0.7015520334243774,1,1,0,0.5,1.0,0.6666666666666666,0.7147957922413709
YOLOv11,Level_3,L3_23.png,1,0.4531806707382202,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_24.png,2,0.6036489605903625,1,1,0,0.5,1.0,0.6666666666666666,0.5387857436916421
YOLOv11,Level_3,L3_24.png,1,0.8649147748947144,1,0,0,1.0,1.0,1.0,0.7639116248653143
YOLOv8,Level_3,L3_25.png,2,0.7829903364181519,1,1,0,0.5,1.0,0.6666666666666666,0.8014177657607958
YOLOv11,Level_3,L3_25.png,1,0.28116947412490845,1,0,0,1.0,1.0,1.0,0.763816159700862
